# mean_0, mean_1, mean_2, mean_3, mean_4, mean_5, mean_6, mean_7, max_prob, pred, GT, std_0, std_1, std_2, std_3, std_4, std_5, std_6, std_7
0.000,0.000,0.167,0.633,0.200,0.000,0.000,0.000,0.633,3.000,3.000,0.000,0.000,0.373,0.482,0.400,0.000,0.000,0.000
0.000,0.000,0.033,0.333,0.533,0.100,0.000,0.000,0.533,4.000,3.000,0.000,0.000,0.180,0.471,0.499,0.300,0.000,0.000
0.000,0.000,0.400,0.067,0.433,0.000,0.100,0.000,0.433,4.000,3.000,0.000,0.000,0.490,0.249,0.495,0.000,0.300,0.000
0.000,0.000,0.033,0.767,0.200,0.000,0.000,0.000,0.767,3.000,3.000,0.000,0.000,0.180,0.423,0.400,0.000,0.000,0.000
0.000,0.000,0.133,0.833,0.033,0.000,0.000,0.000,0.833,3.000,3.000,0.000,0.000,0.340,0.373,0.180,0.000,0.000,0.000
0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,2.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.033,0.067,0.167,0.733,0.000,0.000,0.000,0.733,4.000,3.000,0.000,0.180,0.249,0.373,0.442,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.300,0.600,0.100,0.000,0.600,5.000,5.000,0.000,0.000,0.000,0.000,0.458,0.490,0.300,0.000
0.000,0.000,0.000,0.133,0.800,0.067,0.000,0.000,0.800,4.000,3.000,0.000,0.000,0.000,0.340,0.400,0.249,0.000,0.000
0.000,0.000,0.000,0.000,0.267,0.600,0.133,0.000,0.600,5.000,5.000,0.000,0.000,0.000,0.000,0.442,0.490,0.340,0.000
0.000,0.000,0.000,0.133,0.800,0.067,0.000,0.000,0.800,4.000,3.000,0.000,0.000,0.000,0.340,0.400,0.249,0.000,0.000
0.000,0.067,0.000,0.067,0.500,0.167,0.200,0.000,0.500,4.000,7.000,0.000,0.249,0.000,0.249,0.500,0.373,0.400,0.000
0.000,0.667,0.300,0.033,0.000,0.000,0.000,0.000,0.667,1.000,2.000,0.000,0.471,0.458,0.180,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.067,0.367,0.133,0.267,0.167,0.367,4.000,7.000,0.000,0.000,0.000,0.249,0.482,0.340,0.442,0.373
0.000,0.000,0.000,0.133,0.369,0.431,0.067,0.000,0.431,5.000,5.000,0.000,0.000,0.000,0.340,0.480,0.493,0.249,0.000
0.000,0.000,0.000,0.000,0.700,0.167,0.100,0.033,0.700,4.000,5.000,0.000,0.000,0.000,0.000,0.458,0.373,0.300,0.180
0.000,0.000,0.000,0.000,0.000,0.167,0.500,0.333,0.500,6.000,7.000,0.000,0.000,0.000,0.000,0.000,0.373,0.500,0.471
0.000,0.000,0.967,0.033,0.000,0.000,0.000,0.000,0.967,2.000,1.000,0.000,0.000,0.180,0.180,0.000,0.000,0.000,0.000
0.033,0.533,0.000,0.033,0.233,0.133,0.033,0.000,0.533,1.000,5.000,0.180,0.499,0.000,0.180,0.423,0.340,0.180,0.000
0.000,0.000,0.000,0.000,0.067,0.267,0.533,0.133,0.533,6.000,7.000,0.000,0.000,0.000,0.000,0.249,0.442,0.498,0.340
0.000,0.333,0.667,0.000,0.000,0.000,0.000,0.000,0.667,2.000,2.000,0.000,0.471,0.471,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.333,0.533,0.133,0.533,6.000,7.000,0.000,0.000,0.000,0.000,0.000,0.471,0.499,0.340
0.000,0.000,0.000,0.000,0.500,0.233,0.167,0.100,0.500,4.000,6.000,0.000,0.000,0.000,0.000,0.500,0.423,0.373,0.300
0.000,0.000,0.033,0.134,0.333,0.067,0.333,0.100,0.333,4.000,7.000,0.000,0.000,0.180,0.340,0.471,0.249,0.471,0.300
0.000,0.000,0.000,0.700,0.233,0.067,0.000,0.000,0.700,3.000,3.000,0.000,0.000,0.000,0.458,0.423,0.249,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.067,0.700,0.233,0.700,6.000,7.000,0.000,0.000,0.000,0.000,0.000,0.249,0.458,0.423
0.267,0.000,0.000,0.000,0.000,0.200,0.467,0.066,0.467,6.000,7.000,0.442,0.000,0.000,0.000,0.000,0.400,0.499,0.248
0.000,0.000,0.000,0.000,0.000,0.067,0.500,0.433,0.500,6.000,7.000,0.000,0.000,0.000,0.000,0.000,0.249,0.500,0.495
0.000,0.000,0.000,0.267,0.633,0.033,0.067,0.000,0.633,4.000,7.000,0.000,0.000,0.000,0.442,0.482,0.180,0.249,0.000
0.067,0.000,0.000,0.100,0.467,0.200,0.133,0.033,0.467,4.000,7.000,0.249,0.000,0.000,0.300,0.499,0.400,0.340,0.180
0.000,0.000,0.000,0.000,0.033,0.133,0.600,0.233,0.600,6.000,7.000,0.000,0.000,0.000,0.000,0.180,0.340,0.490,0.423
0.000,0.000,0.000,0.033,0.233,0.133,0.567,0.033,0.567,6.000,7.000,0.000,0.000,0.000,0.180,0.423,0.340,0.496,0.180
0.000,0.000,0.000,0.133,0.367,0.067,0.100,0.333,0.367,4.000,7.000,0.000,0.000,0.000,0.340,0.482,0.249,0.300,0.471
0.000,0.000,0.000,0.333,0.433,0.133,0.000,0.100,0.433,4.000,7.000,0.000,0.000,0.000,0.471,0.496,0.340,0.000,0.300
0.000,0.000,0.033,0.100,0.367,0.267,0.233,0.000,0.367,4.000,5.000,0.000,0.000,0.180,0.300,0.482,0.442,0.423,0.000
0.000,0.000,0.067,0.167,0.167,0.133,0.367,0.100,0.367,6.000,7.000,0.000,0.000,0.249,0.373,0.373,0.340,0.482,0.300
0.000,0.000,0.000,0.267,0.533,0.200,0.000,0.000,0.533,4.000,5.000,0.000,0.000,0.000,0.442,0.499,0.400,0.000,0.000
0.000,0.000,0.000,0.033,0.733,0.167,0.067,0.000,0.733,4.000,5.000,0.000,0.000,0.000,0.180,0.442,0.373,0.249,0.000
0.000,0.300,0.033,0.167,0.467,0.033,0.000,0.000,0.467,4.000,5.000,0.000,0.458,0.180,0.373,0.499,0.180,0.000,0.000
0.000,0.000,0.000,0.100,0.767,0.000,0.133,0.000,0.767,4.000,5.000,0.000,0.000,0.000,0.300,0.423,0.000,0.340,0.000
0.000,0.000,0.033,0.100,0.867,0.000,0.000,0.000,0.867,4.000,3.000,0.000,0.000,0.180,0.300,0.340,0.000,0.000,0.000
0.000,0.067,0.033,0.000,0.167,0.267,0.267,0.200,0.267,5.000,5.000,0.000,0.249,0.180,0.000,0.373,0.442,0.442,0.400
0.000,0.033,0.000,0.233,0.467,0.167,0.100,0.000,0.467,4.000,5.000,0.000,0.180,0.000,0.423,0.499,0.373,0.300,0.000
0.000,0.033,0.033,0.300,0.467,0.100,0.033,0.033,0.467,4.000,5.000,0.000,0.180,0.180,0.458,0.499,0.300,0.180,0.180
0.067,0.000,0.000,0.133,0.467,0.067,0.267,0.000,0.467,4.000,5.000,0.249,0.000,0.000,0.340,0.499,0.249,0.442,0.000
0.000,0.000,0.000,0.100,0.433,0.467,0.000,0.000,0.467,5.000,5.000,0.000,0.000,0.000,0.300,0.496,0.499,0.000,0.000
0.000,0.000,0.033,0.367,0.600,0.000,0.000,0.000,0.600,4.000,3.000,0.000,0.000,0.180,0.482,0.490,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.467,0.100,0.433,0.000,0.467,4.000,5.000,0.000,0.000,0.000,0.000,0.499,0.300,0.496,0.000
0.000,0.033,0.167,0.200,0.367,0.233,0.000,0.000,0.367,4.000,5.000,0.000,0.180,0.373,0.400,0.482,0.423,0.000,0.000
0.000,0.000,0.000,0.167,0.300,0.233,0.300,0.000,0.300,4.000,5.000,0.000,0.000,0.000,0.373,0.458,0.423,0.458,0.000
0.000,0.000,0.000,0.167,0.267,0.567,0.000,0.000,0.567,5.000,5.000,0.000,0.000,0.000,0.373,0.442,0.496,0.000,0.000
0.000,0.000,0.000,0.000,0.538,0.462,0.000,0.000,0.538,4.000,5.000,0.000,0.000,0.000,0.000,0.494,0.494,0.000,0.000
0.000,0.000,0.000,0.000,0.700,0.267,0.033,0.000,0.700,4.000,5.000,0.000,0.000,0.000,0.000,0.458,0.442,0.180,0.000
0.000,0.000,0.033,0.067,0.700,0.200,0.000,0.000,0.700,4.000,5.000,0.000,0.000,0.180,0.249,0.458,0.400,0.000,0.000
0.000,0.000,0.000,0.033,0.033,0.200,0.267,0.467,0.467,7.000,5.000,0.000,0.000,0.000,0.180,0.180,0.400,0.442,0.499
0.000,0.000,0.000,0.100,0.599,0.301,0.000,0.000,0.599,4.000,5.000,0.000,0.000,0.000,0.300,0.489,0.458,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.133,0.633,0.233,0.633,6.000,6.000,0.000,0.000,0.000,0.000,0.000,0.340,0.482,0.423
0.000,0.000,0.000,0.067,0.733,0.200,0.000,0.000,0.733,4.000,5.000,0.000,0.000,0.000,0.249,0.442,0.400,0.000,0.000
0.000,0.000,0.000,0.033,0.133,0.833,0.000,0.000,0.833,5.000,5.000,0.000,0.000,0.000,0.180,0.340,0.373,0.000,0.000
0.000,0.000,0.000,0.000,0.233,0.400,0.367,0.000,0.400,5.000,5.000,0.000,0.000,0.000,0.000,0.423,0.490,0.482,0.000
0.000,0.000,0.000,0.033,0.833,0.133,0.000,0.000,0.833,4.000,5.000,0.000,0.000,0.000,0.180,0.373,0.340,0.000,0.000
0.000,0.000,0.000,0.000,0.933,0.067,0.000,0.000,0.933,4.000,5.000,0.000,0.000,0.000,0.000,0.249,0.249,0.000,0.000
0.000,0.000,0.000,0.133,0.300,0.167,0.367,0.033,0.367,6.000,4.000,0.000,0.000,0.000,0.340,0.458,0.373,0.482,0.180
0.000,0.000,0.000,0.000,0.000,0.100,0.833,0.067,0.833,6.000,5.000,0.000,0.000,0.000,0.000,0.000,0.300,0.373,0.249
0.000,0.000,0.033,0.333,0.467,0.167,0.000,0.000,0.467,4.000,4.000,0.000,0.000,0.180,0.471,0.499,0.373,0.000,0.000
0.000,0.000,0.000,0.544,0.367,0.090,0.000,0.000,0.544,3.000,5.000,0.000,0.000,0.000,0.491,0.482,0.273,0.000,0.000
0.033,0.000,0.000,0.967,0.000,0.000,0.000,0.000,0.967,3.000,4.000,0.180,0.000,0.000,0.180,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.167,0.600,0.233,0.000,0.000,0.600,4.000,4.000,0.000,0.000,0.000,0.373,0.490,0.423,0.000,0.000
0.000,0.267,0.167,0.000,0.133,0.367,0.067,0.000,0.367,5.000,5.000,0.000,0.442,0.373,0.000,0.340,0.482,0.249,0.000
0.000,0.100,0.000,0.367,0.433,0.100,0.000,0.000,0.433,4.000,4.000,0.000,0.300,0.000,0.482,0.496,0.300,0.000,0.000
0.000,0.000,0.000,0.600,0.267,0.100,0.000,0.033,0.600,3.000,4.000,0.000,0.000,0.000,0.490,0.442,0.300,0.000,0.180
0.000,0.000,0.033,0.200,0.767,0.000,0.000,0.000,0.767,4.000,4.000,0.000,0.000,0.180,0.400,0.423,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.033,0.133,0.733,0.100,0.733,6.000,4.000,0.000,0.000,0.000,0.000,0.180,0.340,0.442,0.300
0.000,0.000,0.000,0.067,0.767,0.133,0.033,0.000,0.767,4.000,5.000,0.000,0.000,0.000,0.249,0.423,0.340,0.180,0.000
0.033,0.067,0.000,0.600,0.200,0.067,0.033,0.000,0.600,3.000,4.000,0.180,0.249,0.000,0.490,0.400,0.249,0.180,0.000
0.000,0.000,0.400,0.233,0.167,0.133,0.067,0.000,0.400,2.000,4.000,0.000,0.000,0.490,0.423,0.373,0.340,0.249,0.000
0.000,0.167,0.239,0.261,0.333,0.000,0.000,0.000,0.333,4.000,2.000,0.000,0.373,0.421,0.433,0.471,0.000,0.000,0.000
0.000,0.833,0.033,0.000,0.033,0.100,0.000,0.000,0.833,1.000,5.000,0.000,0.373,0.180,0.000,0.180,0.300,0.000,0.000
0.000,0.100,0.000,0.433,0.200,0.133,0.067,0.067,0.433,3.000,5.000,0.000,0.300,0.000,0.496,0.400,0.340,0.249,0.249
